id,annotations/0/id,annotations/0/completed_by/id,annotations/0/completed_by/email,annotations/0/completed_by/first_name,annotations/0/completed_by/last_name,annotations/0/was_cancelled,annotations/0/ground_truth,annotations/0/created_at,annotations/0/updated_at,annotations/0/lead_time,annotations/0/result_count,annotations/0/task,annotations/0/parent_prediction,annotations/0/parent_annotation,file_upload,data/text/0,created_at,updated_at,project,annotations/0/result/0/value/start,annotations/0/result/0/value/end,annotations/0/result/0/value/text/0,annotations/0/result/0/value/labels/0,annotations/0/result/0/meta/text/0,annotations/0/result/0/id,annotations/0/result/0/from_name,annotations/0/result/0/to_name,annotations/0/result/0/type,annotations/0/result/1/value/start,annotations/0/result/1/value/end,annotations/0/result/1/value/text/0,annotations/0/result/1/value/labels/0,annotations/0/result/1/meta/text/0,annotations/0/result/1/id,annotations/0/result/1/from_name,annotations/0/result/1/to_name,annotations/0/result/1/type,annotations/0/result/2/value/start,annotations/0/result/2/value/end,annotations/0/result/2/value/text/0,annotations/0/result/2/value/labels/0,annotations/0/result/2/id,annotations/0/result/2/from_name,annotations/0/result/2/to_name,annotations/0/result/2/type
72,74,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:12:58.489661Z,2021-11-17T19:27:08.257193Z,22747.926,0,72,,,2df98dff-17.csv,"Et comme Hektôr se jetait sur Lèitos , Idoméneus le frappa à la cuirasse , au-dessous de la mamelle , mais la longue pique se rompit là où la pointe s'unit au bois , et les Troiens poussèrent des clameurs ; et , contre Idoméneus Deukalide debout sur son char , Hektôr lança sa pique qui s'égara et perça le conducteur de Mèrionès , Koiranos , qui l'avait suivi de la populeuse Lyktos . Idoméneus étant venu à pied des nefs aux doubles avirons , il eût donné une grande gloire aux Troiens , si Koiranos n'eût amené aussitôt les chevaux rapides . Et il fut le salut d'Idoméneus , et il lui conserva la lumière ; mais lui-même rendit l'âme sous le tueur d'hommes Hektôr qui le perça entre la mâchoire et l'oreille . La pique ébranla les dents et trancha la moitié de la langue . Koiranos tomba du char , laissant traîner les rênes . Et Mèrionès , les saisissant à terre , dit à Idoméneus :",2021-11-03T21:16:23.769150Z,2021-11-17T19:27:08.223842Z,1,833,841,Mèrionès,Speaker,75,GZVm3zpvJq,speech,text,labels,,,,,,,,,,,,,,,,,
71,73,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:11:47.099284Z,2021-11-17T19:27:00.437687Z,22740.108,0,71,,,2df98dff-17.csv,"Et , le premier , le Boiôtien Pènéléôs prit la fuite , blessé par Polydamas d'un coup de lance qui lui avait traversé le haut de l'épaule jusqu'à l'os . Et Hektôr blessa à la main Lèitos , fils du magnanime Alektryôn ; et il le mit en fuite , épouvanté et regardant de tous côtés , car il n'espérait plus pouvoir tenir une lance pour le combat .",2021-11-03T21:16:23.769092Z,2021-11-17T19:27:00.401003Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,
70,72,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:10:58.615530Z,2021-11-17T19:26:52.668884Z,22732.33,0,70,,,2df98dff-17.csv,"Il parla ainsi , et la noire nuée de la douleur enveloppa Hektôr , et il se rua aux premiers rangs , armé de l'airain splendide . Et alors le Kroniôn saisit l'aigide aux franges éclatantes , et il couvrit l'Ida de nuées , et , fulgurant , il tonna fortement , secouant l'aigide , donnant la victoire aux Troiens et mettant les Akhaiens en fuite .",2021-11-03T21:16:23.769029Z,2021-11-17T19:26:52.630593Z,1,,,,,,,,,,,,,,,,,,,,,,,,,,
68,70,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:09:29.513229Z,2021-11-17T19:26:30.213660Z,22709.885,0,68,,,2df98dff-17.csv,"Il parla ainsi , et Athènè aux yeux clairs se réjouit parce qu'il l'avait implorée avant tous les dieux . Et elle répandit la vigueur dans ses épaules et dans ses genoux , et elle mit dans sa poitrine l'audace de la mouche qui , toujours et vainement chassée , se plaît à mordre , car le sang de l'homme lui est doux . Et elle mit cette audace dans son coeur sombre ; et , retournant vers Patroklos , il lança sa pique brillante . Et parmi les Troiens se trouvait Podès , fils d'Êétiôn , riche , brave , et très honoré par Hektôr entre tous les autres , parce qu'il était son plus cher convive . Le blond Ménélaos le frappa sur le baudrier , comme il fuyait ; et l'airain le traversa , et il tomba avec bruit , et l'Atréide Ménélaos entraîna son cadavre du côté des Akhaiens . Et Apollôn excita Hektôr , sous la forme de Phainops Asiade qui habitait Abydos , et qui était le plus cher des hôtes du Priamide . Et l'archer Apollôn dit à celui-ci , sous la forme de Phainops :",2021-11-03T21:16:23.768921Z,2021-11-17T19:26:30.181142Z,1,921,928,Apollôn,Speaker,71,bZ4V6ax3uJ,speech,text,labels,,,,,,,,,,,,,,,,,
67,69,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:06:22.868074Z,2021-11-17T19:26:21.758137Z,22701.432,0,67,,,2df98dff-17.csv,"— Phoinix , mon père , vieillard vénérable , plût aux dieux qu'Athènè me donnât la force et repoussât loin de moi les traits . J'irais et je défendrais Patroklos , car , en mourant , il a violemment déchiré mon coeur . Mais la vigueur de Hektôr est comme celle du feu , et il ne cesse de tuer avec l'airain , et Zeus lui donne la victoire .",2021-11-03T21:16:23.768864Z,2021-11-17T19:26:21.725073Z,1,2,340,"Phoinix , mon père , vieillard vénérable , plût aux dieux qu'Athènè me donnât la force et repoussât loin de moi les traits . J'irais et je défendrais Patroklos , car , en mourant , il a violemment déchiré mon coeur . Mais la vigueur de Hektôr est comme celle du feu , et il ne cesse de tuer avec l'airain , et Zeus lui donne la victoire .",Speech,,6NhM4Y8G7s,speech,text,labels,127,218,"J'irais et je défendrais Patroklos , car , en mourant , il a violemment déchiré mon coeur . ",Colère,,Te9_ZTt7Og,emotion,text,labels,,,,,,,,
65,67,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:05:57.773532Z,2021-11-17T19:25:49.963480Z,22669.632,0,65,,,2df98dff-17.csv,"— Quelle honte et quelle douleur pour toi , Ménélaos , si les chiens rapides des Troiens mangeaient , sous leurs murailles , le cher compagnon de l'illustre Akhilleus Mais sois ferme , et encourage tout ton peuple .",2021-11-03T21:16:23.768757Z,2021-11-17T19:25:49.928710Z,1,2,215,"Quelle honte et quelle douleur pour toi , Ménélaos , si les chiens rapides des Troiens mangeaient , sous leurs murailles , le cher compagnon de l'illustre Akhilleus Mais sois ferme , et encourage tout ton peuple .",Speech,,s5TTv9F7O0,speech,text,labels,2,215,"Quelle honte et quelle douleur pour toi , Ménélaos , si les chiens rapides des Troiens mangeaient , sous leurs murailles , le cher compagnon de l'illustre Akhilleus Mais sois ferme , et encourage tout ton peuple .",Tristesse,,blR8YLkFwo,emotion,text,labels,,,,,,,,
64,66,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:05:34.954447Z,2021-11-17T19:25:29.599218Z,22649.26,0,64,,,2df98dff-17.csv,"Et , de nouveau , la mêlée affreuse et lamentable recommença sur Patroklos . Et Athènè , descendant de l'Ouranos , anima le combat , car Zeus au large regard l'avait envoyée afin d'encourager les Danaens , son esprit étant changé . De même que l'Ouranien Zeus envoie aux vivants une Iris pourprée , signe de guerre ou de froides tempêtes , qui interrompt les travaux des hommes et nuit aux troupeaux ; de même Athènè , s'enveloppant d'une nuée pourprée , se mêla à la foule des Akhaiens . Et , d'abord , elle excita le fils d'Atreus , parlant ainsi au brave Ménélaos , sous la forme de Phoinix à la voix mâle :",2021-11-03T21:16:23.768703Z,2021-11-17T19:25:29.561345Z,1,410,416,Athènè,Speaker,67,aYTLQ7BzEp,speech,text,labels,,,,,,,,,,,,,,,,,
60,62,1,adrien.coulon@unil.ch,,,false,false,2021-11-11T00:00:04.366539Z,2021-11-17T19:25:10.719969Z,22630.389,0,60,,,2df98dff-17.csv,"— Aias et Ménélaos , chefs des Argiens , remettez ce cadavre aux plus braves , et qu'ils le défendent , et qu'ils repoussent la foule des hommes ; mais éloignez notre dernier jour , à nous qui sommes vivants , car voici que Hektôr et Ainéias , les plus terribles des Troiens , se ruent sur nous à travers la mêlée lamentable . Mais la destinée est sur les genoux des dieux ! Je lance ma pique , me confiant en Zeus .",2021-11-03T21:16:23.768473Z,2021-11-17T19:25:10.687331Z,1,2,416,"Aias et Ménélaos , chefs des Argiens , remettez ce cadavre aux plus braves , et qu'ils le défendent , et qu'ils repoussent la foule des hommes ; mais éloignez notre dernier jour , à nous qui sommes vivants , car voici que Hektôr et Ainéias , les plus terribles des Troiens , se ruent sur nous à travers la mêlée lamentable . Mais la destinée est sur les genoux des dieux ! Je lance ma pique , me confiant en Zeus .",Speech,,3VVPlqZfiS,speech,text,labels,2,416,"Aias et Ménélaos , chefs des Argiens , remettez ce cadavre aux plus braves , et qu'ils le défendent , et qu'ils repoussent la foule des hommes ; mais éloignez notre dernier jour , à nous qui sommes vivants , car voici que Hektôr et Ainéias , les plus terribles des Troiens , se ruent sur nous à travers la mêlée lamentable . Mais la destinée est sur les genoux des dieux ! Je lance ma pique , me confiant en Zeus .",Ardeur,,9wpZh1iQd8,emotion,text,labels,,,,,,,,
57,59,1,adrien.coulon@unil.ch,,,false,false,2021-11-10T23:58:40.885609Z,2021-11-17T19:23:44.648754Z,22544.312,0,57,,,2df98dff-17.csv,"Il parla , et l'irréprochable fils d'Ankhisès consentit , et ils marchèrent , abritant leurs épaules des cuirs secs et solides que recouvrait l'airain . Et avec eux marchaient Khromios et Arètos semblable à un dieu . Et les insensés espéraient tuer les deux Akhaiens et se saisir des chevaux au large cou ; mais ils ne devaient point revenir sans avoir répandu leur sang sous les mains d'Automédôn . Et celui-ci supplia le père Zeus , et , plein de force et de courage dans son coeur sombre , il dit à son compagnon fidèle , Alkimédôn :",2021-11-03T21:16:23.768309Z,2021-11-17T19:23:44.609906Z,1,388,397,Automédôn,Speaker,60,U-o-Y6jbVI,speech,text,labels,388,397,Automédôn,Speaker,62,ZxljPQoj2J,speech,text,labels,,,,,,,,
56,58,1,adrien.coulon@unil.ch,,,false,false,2021-11-10T23:57:33.511394Z,2021-11-17T19:23:24.716140Z,22524.389,0,56,,,2df98dff-17.csv,"— Ainéias , prince des Troiens cuirassés , je vois les deux chevaux du rapide Aiakide qui courent dans la mêlée avec des conducteurs vils , et j'espère les saisir , si tu veux m'aider , car , sans doute , ces hommes n'oseront point nous tenir tête .",2021-11-03T21:16:23.768252Z,2021-11-17T19:23:24.683402Z,1,2,247,"Ainéias , prince des Troiens cuirassés , je vois les deux chevaux du rapide Aiakide qui courent dans la mêlée avec des conducteurs vils , et j'espère les saisir , si tu veux m'aider , car , sans doute , ces hommes n'oseront point nous tenir tête",Speech,,JvIdwozTHN,speech,text,labels,2,247,"Ainéias , prince des Troiens cuirassés , je vois les deux chevaux du rapide Aiakide qui courent dans la mêlée avec des conducteurs vils , et j'espère les saisir , si tu veux m'aider , car , sans doute , ces hommes n'oseront point nous tenir tête",Ardeur,,8o_t_3K433,emotion,text,labels,,,,,,,,
54,56,1,adrien.coulon@unil.ch,,,false,false,2021-11-10T23:55:44.231835Z,2021-11-17T19:23:04.280042Z,22503.935,0,54,,,2df98dff-17.csv,"— Alkimédôn , nul des Akhaiens ne pourrait dompter les chevaux immortels , si ce n'est toi . Patroklos , vivant , seul le pouvait , étant semblable aux dieux par sa prudence . Maintenant , la mort et la moire l'ont saisi . Prends le fouet et les rênes splendides , et je descendrai pour combattre .",2021-11-03T21:16:23.768144Z,2021-11-17T19:23:04.247629Z,1,2,298,"Alkimédôn , nul des Akhaiens ne pourrait dompter les chevaux immortels , si ce n'est toi . Patroklos , vivant , seul le pouvait , étant semblable aux dieux par sa prudence . Maintenant , la mort et la moire l'ont saisi . Prends le fouet et les rênes splendides , et je descendrai pour combattre .",Speech,,yy3bT-CJQg,speech,text,labels,223,298,"Prends le fouet et les rênes splendides , et je descendrai pour combattre .",Ardeur,,7UX9FGHAOH,emotion,text,labels,,,,,,,,
52,54,1,adrien.coulon@unil.ch,,,false,false,2021-11-10T23:54:11.387991Z,2021-11-17T19:22:32.320381Z,22471.982,0,52,,,2df98dff-17.csv,"— Automédôn , quel dieu t'ayant mis dans l'âme un dessein insensé , t'a ravi l'esprit ? Tu veux combattre seul aux premiers rangs , contre les Troiens , et ton compagnon est mort , et Hektôr se glorifie de porter sur ses épaules les armes de l'Aiakide !",2021-11-03T21:16:23.768034Z,2021-11-17T19:22:32.280206Z,1,2,253,"Automédôn , quel dieu t'ayant mis dans l'âme un dessein insensé , t'a ravi l'esprit ? Tu veux combattre seul aux premiers rangs , contre les Troiens , et ton compagnon est mort , et Hektôr se glorifie de porter sur ses épaules les armes de l'Aiakide !",Speech,,Zsz5HR-flA,speech,text,labels,2,253,"Automédôn , quel dieu t'ayant mis dans l'âme un dessein insensé , t'a ravi l'esprit ? Tu veux combattre seul aux premiers rangs , contre les Troiens , et ton compagnon est mort , et Hektôr se glorifie de porter sur ses épaules les armes de l'Aiakide !",Colère,,Zsz5HR-flA,emotion,text,labels,0,253,"— Automédôn , quel dieu t'ayant mis dans l'âme un dessein insensé , t'a ravi l'esprit ? Tu veux combattre seul aux premiers rangs , contre les Troiens , et ton compagnon est mort , et Hektôr se glorifie de porter sur ses épaules les armes de l'Aiakide !",Colère,xLvUIfmOe2,emotion,text,labels
51,53,1,adrien.coulon@unil.ch,,,false,false,2021-11-10T23:54:04.876834Z,2021-11-17T19:21:59.903090Z,22439.568,0,51,,,2df98dff-17.csv,"Ayant ainsi parlé , il inspira une grande force aux chevaux , et ceux-ci , secouant la poussière de leurs crins sur la terre , entraînèrent rapidement le char léger entre les Troiens et les Akhaiens . Et Automédôn , bien que pleurant son compagnon , excitait l'impétuosité des chevaux , tel qu'un vautour sur des oies . Et il s'éloignait ainsi de la foule des Troiens , et il revenait se ruer dans la mêlée ; mais il poursuivait les guerriers sans les tuer , ne pouvant à la fois , seul sur le char sacré , combattre de la lance et diriger les chevaux rapides . Enfin , un de ses compagnons , Alkimédôn , fils de Laerkeus Aimonide , le vit de ses yeux , et , s'arrêtant auprès du char , dit à Automédôn :",2021-11-03T21:16:23.767977Z,2021-11-17T19:21:59.867045Z,1,593,630,"Alkimédôn , fils de Laerkeus Aimonide",Speaker,54,GkRBEBPtZn,speech,text,labels,,,,,,,,,,,,,,,,,
49,51,1,adrien.coulon@unil.ch,,,false,false,2021-11-10T23:50:49.181923Z,2021-11-17T19:21:29.881056Z,22409.54,0,49,,,2df98dff-17.csv,"Chacun parlait ainsi et animait le courage de ses compagnons , et ils combattaient , et le retentissement de l'airain montait dans l'Ouranos , par les airs stériles . Et les chevaux de l'Aiakide pleuraient , hors de la mêlée , parce qu'ils avaient perdu leur conducteur couché sur la poussière par le tueur d'hommes Hektôr . Et , vainement , Automédôn , le fils du brave Diorès , les excitait du fouet ou leur adressait de flatteuses paroles , ils ne voulaient point aller vers le large Hellespontos , ni vers la mêlée des Akhaiens ; et , de même qu'une colonne qui reste debout sur la tombe d'un homme ou d'une femme , ils restaient immobiles devant le beau char , la tête courbée vers la terre . Et de chaudes larmes tombaient de leurs paupières , car ils regrettaient leur conducteur ; et leurs crinières florissantes pendaient , souillées , des deux côtés du joug . Et le Kroniôn fut saisi de compassion en les voyant , et , secouant la tête , il dit dans son esprit :",2021-11-03T21:16:23.767773Z,2021-11-17T19:21:29.836716Z,1,873,883,le Kroniôn,Speaker,52,2hbpAOYXdq,speech,text,labels,,,,,,,,,,,,,,,,,
45,47,1,adrien.coulon@unil.ch,,,false,false,2021-11-10T23:48:26.714842Z,2021-11-17T19:20:55.246451Z,22374.916,0,45,,,2df98dff-17.csv,"Et tous , autour du cadavre , combattaient , infatigables , de leurs lances aiguës , et s'entrehYpppHeNtuaient . Et les Akhaiens cuirassés disaient :",2021-11-03T21:16:23.767338Z,2021-11-17T19:20:55.214920Z,1,120,128,Akhaiens,Speaker,48,4b-Q3O2VWy,speech,text,labels,,,,,,,,,,,,,,,,,
